Document,Primary Introducer,Status,Description,Document ID
LB1,Speaker Flood,Passed,Change provisions relating to prohibitions on prosecution for leaving a child at a hospital,6171
LB2,Engel,Passed,Appropriate funds for special session expenses,6197
LB3,Dubas,Indefinitely postponed,Adopt the Nebraska Infant Safe Haven Act and the Nebraska Children's Safe Haven Act,6237
LB179A,Lathrop,Passed,Appropriations bill,4227
LB249A,Heidemann,Indefinitely postponed,Appropriations bill,4951
LB308A,Stuthman,Passed,Change provisions relating to errors and omissions in a financing statement,5526
LB606A,Ashford,Passed,Appropriations bill,4811
LB689A,Karpisek,Indefinitely postponed,Appropriations bill,4903
LB706,"Executive Board: Engel, Chairperson",Passed,Revisor bill to correct erroneous references in a statute governing limited cooperative associations,3723
LB707,"Executive Board: Engel, Chairperson",Passed,"Revisor bill to repeal statutes that terminated on January 1, 2001, relating to partnerships",3777
LB708,Pahls,Indefinitely postponed,Adopt the Sales Tax Holiday Act,3453
LB708A,Pahls,Indefinitely postponed,Appropriations bill,5009
LB709,Pahls,Indefinitely postponed,Permit motor vehicle and motorcycle dealers to issue certificates of title and registration and license plates,3757
LB710,Pahls,Passed,Require notice of sale of real property by a land reutilization authority,3406
LB711,Pahls,Indefinitely postponed,Change disability benefit provisions under the Judges Retirement Act and the School Employees Retirement Act,3488
LB712,Pahls,Indefinitely postponed,Provide for daytime running lights on motor vehicles,3758
LB713,Pahls,Indefinitely postponed,Prohibit physicians from administering certain fat-dissolving substances,3405
LB714,Pahls,Indefinitely postponed,Exclude social security benefits from income tax and homestead exemption calculations,3551
LB715,Pahls,Passed,Change provisions relating to nonresident real estate licensees,3493
LB716,Pahls,Indefinitely postponed,Change provisions relating to the effect of errors and omissions in a financing statement,3753
LB717,Pahls,Indefinitely postponed,Change provisions relating to finance ,3853
LB718,Schimek,Indefinitely postponed,Exempt purchases by organizations like Habitat for Humanity from sales tax,3710
LB719,Schimek,Indefinitely postponed,Change qualification provisions for membership on the State Board of Education,3409
LB720,Schimek,Passed,Change requirement regarding prerecorded messages,3784
LB721,Schimek,Indefinitely postponed,Change Capitol Landscape Restoration Master Plan provisions,3708
LB721A,Schimek,Indefinitely postponed,Appropriations bill,4800
LB722,Engel,Indefinitely postponed,Change the tax on tobacco products,3362
LB723,Engel,Indefinitely postponed,Change the State Electrical Act,3519
LB724,Natural Resources Committee,Passed,Change fees under the Remedial Action Plan Monitoring Act,3401
LB725,Natural Resources Committee,Indefinitely postponed,Provide for grants under the Waste Reduction and Recycling Incentive Act,3404
LB726,Natural Resources Committee,Passed,Change provisions relating to the Wastewater Treatment Facilities Construction Loan Fund,3402
LB726A,Louden,Passed,Appropriations bill,4391
LB727,Natural Resources Committee,Passed,Change provisions relating to hearings conducted by the Department of Natural Resources,3837
LB728,Karpisek,Passed,Change provisions relating to the state song,3424
LB729,Flood,Indefinitely postponed,Redefine exotic animals for auctions and swap meets,3863
LB730,Flood,Indefinitely postponed,Change emergency medical services classifications and training,3550
LB731,Kopplin,Indefinitely postponed,Authorize issuance of a teaching certificate to a military spouse,3879
LB732,Kopplin,Indefinitely postponed,Exempt first twenty-five thousand dollars of residential property values from taxation,3856
LB733,Kopplin,Indefinitely postponed,Create a homestead exemption,3858
LB734,Fulton,Passed,Change employee benefit plan provisions for certain political subdivisions,3630
