Document,Primary Introducer,Status,Description,Document ID
LB1,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to repeal an obsolete statute relating to the Republican River,11765
LB1,Dubas,Passed,Adopt the Major Oil Pipeline Siting Act and change eminent domain provisions,15149
LB1A,Dubas,Indefinitely postponed,Appropriation Bill,15391
LB2,Wightman,Passed,Appropriate funds for special session expenses,15277
LB2,"Executive Board: Wightman, Chairperson",Passed,"Revisor bill to repeal obsolete statutes relating to the Water Policy Task Force, ground water conservation districts, and certain provisional permits",11816
LB3,"Executive Board: Wightman, Chairperson",Passed,"Revisor bill to repeal an obsolete statute in the Nebraska Construction Lien Act governing the enforcement of liens that arose prior to January 1, 1982",11852
LB3,Avery,Indefinitely postponed,Change provisions relating to eminent domain and easements for oil pipelines,15295
LB4,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to repeal an obsolete statute relating to the Small Business Development Authority and the Small Business Investment Fund,11853
LB4,Langemeier,Passed,Provide for state participation in a federal supplemental environmental impact statement review process for oil pipelines,15278
LB4A,Langemeier,Passed,Appropriation Bill,15381
LB5,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to repeal an obsolete statute relating to the Research and Development Authority,11854
LB5,Haar,Indefinitely postponed,Adopt the Oil Pipeline Certificate of Authorization Act,15121
LB6,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to eliminate obsolete language and reference to a repealed statute in the Judges Retirement Act relating to acting judges of the county court,11872
LB6,Avery,Indefinitely postponed,Adopt the Oil Pipeline Indemnity Bond Act,15294
LB7,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to repeal an obsolete statute relating to workers' compensation ,12251
LB8,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to repeal an obsolete statute relating to schools,12263
LB9,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to change erroneous reference to previous sections rather than chapter in civil procedure statutes,12327
LB10,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to clarify reference to the Nebraska Retirement Systems Committee,12328
LB11,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to correct an internal reference in the Employment Security Law,12494
LB12,Wightman,Passed,"Eliminate ""without parole"" provisions relating to life imprisonment",11670
LB13,Wightman,Indefinitely postponed,Change provisions relating to life imprisonment without parole,11905
LB14,Wightman,Passed,"Change fees received by registers of deeds, county clerks, district court clerks, and the Secretary of State",11705
LB15,Wightman,Passed,Change district court execution of judgment provisions,12307
LB16,Wightman,Withdrawn,Change composition of certain district court judicial districts,12393
LB17,Wightman,Passed,Change civil procedure complete court record provisions,12308
LB18,Adams,Passed,Provide for distribution of allocations from the federal Education Jobs Fund,12543
LB19,McCoy,Passed,Prohibit the use of certain drug substances as prescribed,11703
LB20,McCoy,Passed,Regulate the sale of methamphetamine precursors,11812
LB21,McCoy,Indefinitely postponed,Change provisions relating to ballots cast by presidential electors,11810
LB22,McCoy,Passed,Adopt the Mandate Opt-Out and Insurance Coverage Clarification Act,12033
LB23,Langemeier,Passed,Change renewal and fee provisions of the Nebraska Real Estate License Act,11881
LB24,Langemeier,Passed,Provide training requirements under the Nebraska Real Estate License Act,11883
LB25,Langemeier,Passed,Provide exemptions relating to real property for asset management companies,11882
LB26,Langemeier,Passed,Adopt the Private Transfer Fee Obligation Act,12429
LB27,Langemeier,Passed,Change appropriations for water power and water well registration fees,11785
LB28,Langemeier,Passed,Change provisions relating to chemigation,12289
LB29,Langemeier,Passed,Change provisions relating to the use of certain funds by the Department of Environmental Quality,11799
LB30,Langemeier,Passed,Change the Environmental Protection Act relating to composting sites and references to federal law,11800
LB31,Langemeier,Passed,Change supplemental agricultural appropriation of water provisions,11782
LB32,Langemeier,Passed,Change dam and appropriation application approval provisions,11781
LB33,Louden,Indefinitely postponed,Change valuation of agricultural and horticultural land,12061
LB34,Louden,Passed,Exempt religious residential facilities from certain provisions of the Health Care Facility Licensure Act,11851
LB35,Harms,Passed,Change oversize vehicle permit provisions and exceptions for towing disabled vehicles,12467
LB36,Harms,Passed,Provide for a vote regarding adding fluoride to the drinking water supply,11680
LB37,Harms,Indefinitely postponed,Provide requirements for access to information for government audits,12220
LB38,Haar,Indefinitely postponed,Change membership provisions relating to public power district boards,11777
LB39,Haar,Indefinitely postponed,Change licensure provisions for interpreters for deaf and hard of hearing persons,11776
LB40,Hadley,Passed,Change a sales tax exemption for health clinics,12386
LB41,Hadley,Passed,"Change fee, permit and stamp issuance, and possession of game provisions under the Game Law",12007
LB42,Hadley,Passed,Update references to the 2009 Uniform Plumbing Code,11904
LB43,McCoy,Passed,Change provisions relating to trust deeds,11950
LB44,McCoy,Indefinitely postponed,Change provisions relating to power of sale conferred upon a trustee,11947
LB45,Fulton,Passed,Change the Engineers and Architects Regulation Act,12064
LB46,Fulton,Passed,"Define the term ""barber pole"" for purposes of the Barber Act",11822
LB47,Fischer,Passed,Include certain third parties as railroad carriers,12234
