Document,Primary Introducer,Status,Description,Document ID
LB1,Speaker Flood,Passed,Change appropriations relating to state government,9421
LB1,"Executive Board: Wightman, Chairperson",Passed,"Revisor bill to repeal sections governing settlement escrow that terminated July 1, 2004",6534
LB2,Speaker Flood,Passed,Provide for and eliminate certain fund transfers,9429
LB2,"Executive Board: Wightman, Chairperson",Passed,"Revisor bill to repeal the Nebraska Transit and Rail Advisory Council Act that terminated June 30, 2005",6535
LB3,Speaker Flood,Passed,Authorize transfers by the Legislature to the General Fund from various funds,9428
LB3,"Executive Board: Wightman, Chairperson",Passed,"Revisor bill to repeal the Nebraska Venture Capital Forum Act that terminated December 31, 2003 ",6536
LB4,Christensen,Indefinitely postponed,Change the rate of jury compensation to minimum wage,6169
LB4,Speaker Flood,Passed,Appropriate funds for special session expenses,9422
LB5,Christensen,Passed,Authorize counties to prohibit trapping wildlife in county road rights-of-way and eliminate a penalty,6020
LB5,Education Committee,Passed,Change provisions relating to state aid to schools and expenditure limitations,9433
LB6,Carlson,Indefinitely postponed,Change inspection provisions of the Commercial Dog and Cat Operator Inspection Act,9440
LB6,Christensen,Indefinitely postponed,Authorize school permitholders to drive to work,6612
LB7,Carlson,Indefinitely postponed,Change agricultural pesticide registration and renewal fees,9441
LB7,Wightman,Passed,Provide a residency requirement for clerks of the district court,6357
LB8,Wightman,Indefinitely postponed,Change fees received by clerks and registers of deeds,6329
LB8,Council,Indefinitely postponed,Prohibit transfers from the Job Training Cash Fund to the General Fund,9465
LB9,Langemeier,Indefinitely postponed,Change provisions relating to the Water Resources Cash Fund,9466
LB9,Wightman,Passed,Exempt from sales and use taxes wood and corn used as fuel and mineral oil applied as a dust suppressant,6196
LB10,Coash,Indefinitely postponed,Reduce funding for surveyors of community-based facilities serving persons with developmental disabilities,9443
LB10,Langemeier,Indefinitely postponed,Provide for specialty license plates,5999
LB11,Langemeier,Passed,Change provisions of the Nebraska Real Estate License Act,6083
LB11,Dubas,Indefinitely postponed,Change provisions relating to commodity funds,9457
LB12,Langemeier,Indefinitely postponed,Appropriate funds to the Department of Natural Resources,6728
LB12,Stuthman,Indefinitely postponed,Change provisions relating to C-BED projects and a sales tax exemption,9455
LB13,Pahls,Indefinitely postponed,Impose a sales tax on certain transactions in 2010,9438
LB13,White,Indefinitely postponed,Change and rename the Property Tax Credit Act,6373
LB14,White,Indefinitely postponed,Provide energy conservation standards for certain state buildings,6647
LB14,Louden,Indefinitely postponed,Prohibit transfers and lapses from the Nebraska Brand Inspection and Theft Prevention Fund,9468
LB15,White,Indefinitely postponed,Require driver's license and Internet address information as part of sex offender registration,6706
LB15,White,Indefinitely postponed,Change provisions relating to property tax relief and change school aid appropriations,9453
LB16,White,Passed,Adopt the Taxpayer Transparency Act ,6372
LB16,Haar,Indefinitely postponed,Change provisions relating to funding for certain economic development programs,9473
LB16A,White,Indefinitely postponed,Appropriations Bill,8120
