Document,Primary Introducer,Status,Description,Document ID,Year
LB255A,McCollister,General File,Appropriation Bill,42343,2020
LB310A,Vargas,Passed,Appropriation Bill,41575,2020
LB329A,Bolz,General File,Appropriation Bill,42180,2020
LB518A,Linehan,Select File,Appropriation Bill,41968,2020
LB563A,Bolz,General File,Appropriation Bill,42531,2020
LB734A,Hunt,Passed,Appropriation Bill,40969,2020
LB740,"Executive Board: Hilgers, Chairperson",Passed,Revisor bill to repeal obsolete provisions relating to transfers of funds,41246,2020
LB741,"Executive Board: Hilgers, Chairperson",Passed,Revisor bill to repeal obsolete provisions relating to the Subsidized Employment Pilot Program,41247,2020
LB742,Blood,Referral,"Change penalty, sentencing, and hearing application provisions relating to offenses against animals",40655,2020
LB743,Blood,Referral,Adopt updated electrical standards,40822,2020
LB744,Blood,Referral,Authorize appointment of county engineer in certain counties and change powers and duties,41132,2020
LB745,Blood,General File,Provide duties for law enforcement and prosecutors regarding federal immigration forms relating to victims of certain crimes,40721,2020
LB746,Blood,Referral,Adopt the Nebraska Consumer Data Privacy Act,40714,2020
LB747,Blood,Referral,Change the definition of microbusiness under the Nebraska Advantage Microenterprise Tax Credit Act,40716,2020
LB748,Blood,Referral,Adopt the Fertility Fraud Act,40677,2020
LB749,Blood,Referral,Adopt the Nebraska Anti-Terrorism Act,40701,2020
LB750,Blood,Referral,Prohibit discrimination based on military or veteran status,40662,2020
LB751,Blood,Select File,Provide for a mental health exception to compulsory education requirements,40733,2020
LB752,Blood,General File,Provide duties and programs relating to veterans,40665,2020
LB753,Blood,Referral,Adopt the Audiology and Speech-Language Pathology Interstate Compact,40658,2020
LB754,Blood,Withdrawn,Provide for a new certificate of birth and amendment of a certificate of birth,40660,2020
LB755,Blood,Select File,"Change provisions relating to home services under the Cosmetology, Electrology, Esthetics, Nail Technology, and Body Art Practice Act and Barber Act; physician assistants under the Medicine and Surgery Practice Act and the Podiatry Practice Act; membership of the Board of Medicine and Surgery; infant screening testing; Parkinson’s disease drug reporting; and the Engineers and Architects Regulation Act",40694,2020
LB756,Blood,Referral,Authorize persons eighteen years of age or older to buy and sell stocks and bonds,40702,2020
LB757,Blood,Referral,Prohibit certain fraudulent acts under the Nebraska Criminal Code and the Insurance Fraud Act,40706,2020
LB758,Scheer,General File,Name the State Capitol courtyards,41217,2020
LB759,Kolterman,Referral,Require consultation with school districts regarding placement of children,40957,2020
LB760,Kolterman,Select File,Require health carriers to provide coverage for asynchronous review by a dermatologist by way of telehealth,41024,2020
LB761,Dorn,Referral,Change motor vehicle registration fees and provide funding for the simulation in motion program,40857,2020
LB762,Dorn,Referral,Provide for transfers to the Hall of Fame Trust Fund,41006,2020
LB763,Dorn,General File,Change provisions relating to certain payments of funds to townships,41001,2020
LB764,Lindstrom,General File,Change investment provisions for fiduciaries,40856,2020
LB765,Lindstrom,Withdrawn,Eliminate a duty of the Attorney General with respect to prosecution of certain workers' compensation report violations,40999,2020
LB766,Lindstrom,Referral,"Prohibit sexual assault of a minor by an authority figure, change statute of limitations for failure to make a report of child abuse or neglect, and change provisions relating to sexual offenses",40832,2020
LB767,Lindstrom,General File,Change provisions on breach of warranty on improvements to real property and provisions under the Nebraska Condominium Act,41228,2020
LB768,Albrecht,General File,Adopt and update references to federal transportation laws,40897,2020
LB769,Gragert,General File,Change provisions relating to membership on the Nebraska Natural Resources Commission,40828,2020
LB770,Gragert,Final Reading,Provide for state park permits  for disabled veterans and change nonresident fees for state park permits,40997,2020
LB771,Gragert,Referral,Change a one-license-plate registration provision,40742,2020
LB772,Williams,Referral,Change the scope of practice for physician assistants,40829,2020
LB773,Williams,Referral,Appropriate funds for the Rural Workforce Housing Investment Fund,41183,2020
LB774,Williams,Select File,"Change provisions relating to reinsurance, motor vehicle service contract reimbursement insurance, and fees for dental services and prohibit certain activities by health care facilities",40927,2020
LB775,Williams,General File,Change Real Property Appraiser Act provisions,40791,2020
LB776,DeBoer,Referral,Allow expert testimony on eyewitness identification and memory,40816,2020
LB777,DeBoer,Referral,Provide for set-asides of infractions and violations of city and village ordinances and county resolutions,40937,2020
LB778,Stinner,Referral,State intent regarding appropriations for the Rural Health Systems and Professional Incentive Act,40845,2020
LB779,Stinner,Referral,State intent regarding appropriations to the Department of Health and Human Services ,41200,2020
LB780,Stinner,Select File,Provide duties for the Nebraska Arts Council regarding creative districts and change provisions relating to the Nebraska Arts and Humanities Cash Fund,40975,2020
LB780A,Stinner,Select File,Appropriation Bill,42267,2020
LB781,Stinner,General File,Provide for annual continuing education for treasurers of certain local governments and provide a duty for the Auditor of Public Accounts,40881,2020
LB782,Stinner,General File,Change certified public accountant examination provisions,40989,2020
LB783,Lowe,General File,Change the definition of ambulatory surgical center,41017,2020
LB784,Friesen,Referral,Change provisions regarding odometer statements,41208,2020
LB785,Friesen,General File,"Change vehicle size, weight, and load provisions, provide for stinger-steered automobile transporters and towaway trailer transporter combinations, and define emergency vehicle",40847,2020
LB786,Lathrop,Referral,"Change rules on the use of restrictive housing and require screenings of inmates for serious mental illness, developmental disabilities, and traumatic brain injuries",41127,2020
LB787,Lathrop,Withdrawn,Construe applicability of certain uninsured and underinsured motor vehicle insurance coverages,41242,2020
LB788,Slama,General File,Change and eliminate provisions relating to the Department of Labor,40872,2020
LB789,Slama,Referral,Change school bus stop signal arm violation provisions,40977,2020
LB790,Slama,Select File,Change the Political Subdivisions Construction Alternatives Act and certain state bidding requirements and contract approval procedures,40925,2020
LB791,Slama,Referral,"Change provisions of the Livestock Animal Welfare Act relating to ownership, possession, or seizure of animals",40777,2020
LB792,Slama,Referral,"Allow for the combination or aggregation of cocaine, base cocaine, heroin, amphetamine or methamphetamine amounts for two or more controlled substance violations ",40972,2020
LB793,Slama,Referral,Change penalty and statute of limitation provisions relating to public assistance violations,40671,2020
LB794,"Hansen, M.",Referral,Adopt the Missing Middle Housing Act and provide zoning regulation requirements for certain cities,40998,2020
LB795,"Hansen, M.",General File,Change provisions relating to enterprise zones,40760,2020
LB796,"Hansen, M.",Referral,Change provisions relating to claims against a city of the primary class,41170,2020
LB797,"Hansen, M.",Select File,Change restrictions on municipal annexation,41040,2020
LB798,Brandt,Referral,Provide for the anonymity of certain state lottery prize winners,40920,2020
LB799,Urban Affairs Committee,General File,Change provisions relating to cities of the primary class,40722,2020
LB800,Urban Affairs Committee,General File,Provide for the applicability of state and local construction codes,40814,2020
LB801,Urban Affairs Committee,General File,Change and eliminate provisions of the Community Development Law,40905,2020
LB802,Hughes,Referral,State a legislative finding and declaration relating to the right to use ground water,40991,2020
LB803,Hughes,Select File,Adopt the Pulse Crop Resources Act and harmonize other provisions of law,40852,2020
LB803A,Hughes,Select File,Appropriation Bill,42182,2020
LB804,Wayne,Referral,Provide for insurance coverage of epinephrine autoinjectors,40726,2020
LB805,Wayne,General File,Provide an income tax deduction for certain wages paid to individuals convicted of a felony,41216,2020
LB805A,Wayne,General File,Appropriation Bill,42272,2020
LB806,Wayne,Referral,Exempt social security benefits and retirement benefits from taxation as prescribed,41012,2020
LB807,La Grone,General File,Change a duty of the Auditor of Public Accounts relating to government auditing standards,40793,2020
