Document,Primary Introducer,Status,Description,Document ID
LB66A,Cornett,Passed,Appropriation Bill,16002
LB209A,Cornett,Passed,Appropriation Bill,17249
LB540A,Campbell,Indefinitely postponed,Appropriation Bill,17051
LB541A,Campbell,Passed,Appropriation Bill,17068
LB599A,Campbell,Veto Overridden,Appropriation Bill,17346
LB705,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to repeal obsolete statutes relating to computer date failure actions ,15615
LB706,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to repeal an obsolete statute relating to an interim study,15592
LB707,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to repeal an obsolete statute relating to Joslyn Castle,15577
LB708,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to repeal an obsolete statute relating to the School Weatherization Fund,15234
LB709,"Executive Board: Wightman, Chairperson",Passed,"Revisor bill to repeal obsolete statutes relating to temporary zoning regulations that expired July 1, 2001",15243
LB710,"Executive Board: Wightman, Chairperson",Passed,Revisor bill to repeal the University Buildings Renovation and Land Acquisition Fund that is no longer needed,15700
LB711,Wightman,Passed,Change provisions relating to membership on the Executive Board of the Legislative Council,15115
LB712,Haar,Indefinitely postponed,Change permitted practice provisions under the Certified Nurse Midwifery Practice Act,15584
LB713,Haar,Indefinitely postponed,Provide requirements for and prevent the prohibition of the installation of solar energy systems,15103
LB714,McCoy,Passed,Update references and change provisions in the Real Property Appraiser Act,15641
LB715,Fischer,Passed,Change regulation of boundaries for telecommunications services,15734
LB716,McCoy,Indefinitely postponed,Change municipal powers within extraterritorial jurisdiction,15138
LB717,Council,Indefinitely postponed,"Change school board election, membership, and salary provisions",15699
LB718,Fischer,Indefinitely postponed,"Change provisions relating to certificates of title, the distribution of titling fees, and registration fees for fleet vehicles",15203
LB719,Price,Passed,Change records management provisions ,15279
LB720,Lautenbaugh,Indefinitely postponed,Change membership provisions and provide salaries for Class V school boards,15527
LB721,Larson,Passed,Redefine the term police animal,15130
LB722,Coash,Passed,Authorize fines or costs to be deducted from an offender's  bond as prescribed,15141
LB723,Bloomfield,Passed,Change provisions relating to small systems under the Nebraska Safe Drinking Water Act,15201
LB724,Fischer,Indefinitely postponed,Change commercial driver medical examination provisions and prohibit texting while driving a commercial motor vehicle,15197
LB725,Cornett,Passed,Update references to the Internal Revenue Code of 1986,15475
LB726,Fischer,Indefinitely postponed,Eliminate certain certified and registered mail requirements of the Department of Motor Vehicles,15193
LB727,Cornett,Passed,Change various tax provisions,15572
LB728,Mello,Indefinitely postponed,Provide for the distribution of money received by the state due to a settlement or court order or judgment,15676
LB729,Mello,Passed,Provide powers to an authority and change bond provisions under the Community Development Law,15185
LB730,Mello,Indefinitely postponed,Change provisions relating to theft of services,15113
LB731,Mello,Indefinitely postponed,Adopt the Remanufacturing Pilot Project Act and provide an income tax credit,15145
LB731A,Mello,Indefinitely postponed,Appropriation Bill,17322
LB732,Mello,Indefinitely postponed,Provide procedures for the use of eminent domain by cities and villages for trails,15116
LB733,Pirsch,Passed,Provide for electronic transmission and filing of documents under the Nebraska Uniform Limited Liability Company Act,15651
LB734,Schumacher,Passed,Change provisions relating to replevin,15174
LB735,Schumacher,Passed,Permit governing bodies of community colleges and certain public power districts to hold meetings by videoconferencing or telephone conference,15247
LB736,Schumacher,Indefinitely postponed,Require provision of secret-ballot envelopes for elections,15249
LB737,Gloor,Passed,Provide procedures for submitting national criminal history record information checks with respect to home studies for adoptions,15245
LB738,Gloor,Passed,Change burial expense benefits under the Nebraska Workers' Compensation Act,15544
LB739,Christensen,Passed,"Authorize Game and Parks 
Commission to transfer property to Chase County",15747
LB740,Schilz,Passed,Provide a length exception for semitrailers transporting baled livestock forage,15561
LB741,Schilz,Indefinitely postponed,Change application provisions relating to electric generation facilities,15709
LB742,Schilz,Passed,Change application provisions relating to electric transmission lines and  development of renewable energy sources,15708
LB743,Schilz,Passed,Provide for a fee relating to consideration of a variance under the Nebraska Ground Water Management and Protection Act,15570
LB744,Schilz,Withdrawn,Change provisions relating to court fees,15196
LB745,Fischer,Passed,Provide requirements for imposition of municipal occupation taxes,15609
LB746,Hadley,Indefinitely postponed,Change school permit provisions,15485
LB747,Hadley,Indefinitely postponed,Withdraw from and repeal the Midwest Interstate Passenger Rail Compact,15180
LB748,Fischer,Indefinitely postponed,Eliminate provisions relating to denial of motor vehicle registration or operator's license to a person with outstanding arrest warrants,15192
LB749,Cornett,Indefinitely postponed,Exempt indoor tanning services from sales and use taxes,15773
LB750,Cornett,Passed,Change provisions relating to farm home site valuation and  comparable sales used for tax assessment,15820
LB751,Fischer,Passed,"Change provisions relating to  federal vehicle laws and regulations, parking permits, certificates of title, motor vehicle registration, ignition interlock permits, operators' licenses, state identification cards, motor carriers, mailing requirements, and recreational vehicles",15191
LB751A,Fischer,Passed,Appropriation Bill,16846
LB752,Avery,Indefinitely postponed,Provide an income tax credit relating to grape growing and wine producing,15788
LB753,Avery,Indefinitely postponed,Create funds and provide funding for childhood obesity prevention measures through sales taxation of soft drinks,15646
LB754,Avery,Indefinitely postponed,Require reporting of electioneering communication,15223
LB755,Avery,Indefinitely postponed,Require the Nebraska Accountability and Disclosure Commission to file reports regarding legislative conflicts of interest,15448
LB756,Avery,Indefinitely postponed,Provide public access to documents related to major oil pipelines,15545
LB757,Avery,Indefinitely postponed,Change political party provisions,15678
LB758,Avery,Indefinitely postponed,Change provisions relating to gifts given by a lobbyist or principal,15663
LB759,Avery,Passed,Change petition circulation requirements,15224
LB760,Schilz,Passed,Change provisions relating to meetings of the Environmental Quality Council and grants made to political subdivisions,15534
LB761,Heidemann,Passed,Change requirements for acquisitions of certain real property by the state,15164
LB762,Louden,Indefinitely postponed,Change provisions relating to comparable sales used for tax assessment,15664
LB763,Louden,Indefinitely postponed,Change provisions relating to freeholder petitions and elementary sites,15430
LB764,Louden,Indefinitely postponed,Change provisions relating to vehicle overload exceptions,15178
LB765,Krist,Indefinitely postponed,Change bidding requirements relating to contracts with providers of certain health and social services as prescribed,15458
LB766,Price,Passed,Authorize the Adjutant General to make certain emergency expenditures,15184
LB767,Howard,Indefinitely postponed,Require records of dates and hours of work for state officers and employees,15215
LB768,Howard,Passed,Change provisions relating to access to adoption case files,15217
LB769,Fischer,Indefinitely postponed,Change provisions relating to application for and issuance of operators' licenses and state identification cards,15208
LB770,Carlson,Passed,Change the Nebraska Seed Law,15285
LB771,Carlson,Passed,Change the Nebraska Pure Food Act,15284
LB772,Smith,Passed,Change provisions relating to the payment of salaries for county board members,15442
LB773,Smith,Passed,Change Uniform Credentialing Act fee provisions,15263
LB774,Howard,Indefinitely postponed,Change and add reporting requirements relating to child welfare,15460
LB775,Brasch,Indefinitely postponed,Change disclosure provisions relating to the Auditor of Public Accounts,15697
LB776,Karpisek,Withdrawn,Prohibit sale of alcoholic beer and liquor for less than the purchase price,15573
LB777,Haar,Indefinitely postponed,Change provisions relating to distribution of certain supplemental funds ,15811
LB778,Coash,Withdrawn,Change loan eligibility under the Excellence in Teaching Act,15379
LB779,Lautenbaugh,Passed,Provide for rental of vehicles for use by state agencies,15591
LB780,Smith,Passed,"Redefine ""brewpub"" and ""microbrewery"" for purposes of the Nebraska Liquor Control Act",15262
LB781,Smith,Indefinitely postponed,Change bond provisions relating to the gallonage tax on alcoholic liquor,15287
LB782,McCoy,Passed,Require that reports submitted to the Legislature be submitted electronically,15588
LB783,Wightman,Indefinitely postponed,Change provisions relating to powers of personal representatives,15623
LB784,Wightman,Indefinitely postponed,Change Nebraska Uniform Trust Code provisions relating to testamentary powers,15622
LB785,Christensen,Indefinitely postponed,Authorize possession of firearms as prescribed,15219
LB786,Christensen,Passed,Change forfeiture of office provisions for city council members in cities with a city manager,15730
LB787,McGill,Indefinitely postponed,Authorize inspection and regulation of staff secure facilities by the Jail Standards Board,15522
LB787A,McGill,Indefinitely postponed,Appropriation Bill,17044
LB788,Campbell,Passed,Change respiratory care practice requirements,15741
LB789,Haar,Indefinitely postponed,Change the State Electrical Act relating to electrical inspections,15608
LB790,Coash,Passed,Transfer a county court judgeship to another district,15626
LB791,Mello,Indefinitely postponed,Adopt the Shared Work Unemployment Compensation Program,15620
LB792,Mello,Indefinitely postponed,Change provisions relating to personal services contract review and approval duties of the Director of Administrative Services,15101
LB793,Lautenbaugh,Passed,Limit frivolous civil actions filed by prisoners,15850
LB793A,Lautenbaugh,Passed,Appropriation Bill,16610
LB794,Lambert,Passed,"Redefine ""byproduct material"" under the Radiation Control Act",15200
LB795,Avery,Passed,Change provisions relating to applying for membership in veterans homes,15446
LB796,Avery,Indefinitely postponed,Adopt the Outdoor Outfitters and Guides Registration Act,15574
LB797,Avery,Withdrawn,Define sexual contact to include kissing without consent,15525
LB798,Urban Affairs Committee,Indefinitely postponed,Provide that certain assessments are levied and collected as special assessments,15307
LB799,Cornett,Passed,Change penalties for child abuse,15523
